Private hire cars are permitted to ____.;pick up from taxi stands;pick up street-hail passenger;display rates of hire;pick up pre-booked job
Private hire cars are permitted to pick-up ____.;within 9 metres of a bus stop;taxi stands;full-day bus lanes;building driveway
A chauffeured private hire car can pick up and drop off passengers at ____.;building driveway with permission;bus stops and bus lanes during non-bus lane operation hours;bus lanes during bus lane operation hours ;all of the above
Chauffeured service includes ____.;job received via booking apps;hotel concierge sending a text message for driver to pick up hotel guest;passengers calls for chauffeured service;all of the above
Chauffeured private hire car drivers can increase their income by ____.;soliciting for passenger;accepting more booking jobs;picking up street passengers;queuing at taxi stands
All PSV must ensure it passes vehicle inspection. PHC are inspected once every ____.;3 months;6 months;12 months;18 months
A chauffeured private hire car driver cannot stop in a normal bus lane if it is ____.;10am on a Friday morning;7am on a Friday morning;8.30pm on a Friday evening;7.30pm on a Friday evening
During a ride-hail trip, I should not ____.;remain on the driver seat;inform passenger to wear seat belt;terminate the hiring and require passenger to alight before the destination;forbid passenger to smoke
During a ride-hail trip, I should ____.;ensure the safety of the passenger;inform passenger to wear seat belt;behave in a civil and orderly manner;all of the above
What should a chauffeured private hire car driver do when he/she detected that the decal on his vehicle exhibits signs of tampering?;Just continue driving and affix the decal only when he is about to provide service;Notify LTA and continue to drive and provide chauffeured service;Notify LTA only;Notify the owner of the vehicle and get the decal replaced immediately
What should you do if you spotted the decal of your car being obscured or blocked when view from outside of the vehicle?;Notify the owner and request for a change of vehicle.;I can re-paste the decal by myself.;Accept the vehicle as I am not responsible for how the decal is affixed.;Accept the vehicle is the owner gives me a good discount on the rental.
A curious passenger took out the tamper-evident decal to see if the security features are for real. What should I do?;It is not my problem as the passenger is the one who did it.;Continue to provide chauffeured service and replace when I am free.;Drive to an authorized inspection centre and get the decal replace immediately.;Check the decal with the passenger and put it back properly.
A chauffeured private hire car without display of decal is ____.;allowed if I have an agreement with the car owner;allowed if I a using it for my own use only;allowed if I am scraping the car in 3 weeks time;not allowed at all times
Decals of a chauffeured private hire car can be ____.;obtained from a authorised inspection centre for self-affixing;affixed at authorised inspection centre only;purchased online;taken from other chauffeured private hire car drivers
What is the validity period of a PDVL?;10 years;5 years;3 years;6 years
What is the maximum age for a vocational license holder to hold a VL?;55 years old;65 years old;70 years old;75 years old
A PDVL holder may ____.;drive for a limousine company or provide paid chauffeured services matched by third party booking service operators;drive a taxi;drive a private bus;drive a chauffeured private hire car and pick up street hailing passengers
